Gender,Age,Study_Time,Family_Support,Internet_Access,Previous_Grades,Absences,Extra_Classes,Health_Status,Final_Grade
Male,21,1,Yes,Yes,69.7,9,No,4.0,Pass
Male,15,2,Yes,Yes,64.8,6,No,3.0,Pass
Male,19,2,No,Yes,64.6,4,No,1.0,Fail
Male,17,1,Yes,Yes,76.1,4,No,3.0,Pass
Male,17,1,No,Yes,69.5,3,No,4.0,Fail
Male,15,1,Yes,Yes,73.8,6,No,5.0,Pass
Male,16,1,No,No,88.3,8,No,4.0,Fail
Female,15,4,Yes,Yes,58.7,5,No,5.0,Pass
Male,17,4,Yes,Yes,77.8,4,No,1.0,Pass
Female,18,2,No,Yes,74.2,4,No,3.0,Fail
Male,20,1,Yes,Yes,100.0,7,No,1.0,Fail
Male,20,3,No,Yes,44.4,5,Yes,5.0,Fail
Female,15,1,Yes,Yes,73.8,7,No,4.0,Fail
Female,16,2,Yes,Yes,72.3,8,No,5.0,Pass
Male,20,3,Yes,Yes,72.9,1,Yes,5.0,Pass
Male,21,3,No,No,64.9,3,No,3.0,Fail
Female,17,3,Yes,Yes,38.1,8,No,5.0,Pass
Male,15,3,Yes,Yes,84.6,5,No,4.0,Pass
Male,17,3,No,No,41.6,6,No,4.0,Fail
Male,18,3,Yes,Yes,52.3,6,Yes,2.0,Pass
Male,20,2,No,No,73.3,6,No,2.0,Fail
Female,21,1,No,Yes,81.2,8,Yes,3.0,Fail
Male,16,3,Yes,Yes,86.9,4,No,5.0,Pass
Male,16,1,Yes,Yes,83.3,8,Yes,4.0,Pass
Female,18,2,Yes,No,71.5,2,No,3.0,Fail
Female,18,1,Yes,Yes,55.1,5,No,4.0,Fail
Female,21,1,Yes,Yes,62.1,4,Yes,5.0,Pass
Male,19,4,Yes,Yes,82.3,6,Yes,5.0,Pass
Female,20,1,No,Yes,78.2,8,Yes,4.0,Fail
Male,20,4,Yes,No,59.3,5,No,3.0,Fail
Male,20,3,No,Yes,63.8,10,Yes,2.0,Pass
Male,22,3,No,Yes,34.1,6,No,1.0,Fail
Male,15,1,Yes,Yes,81.5,3,No,1.0,Pass
Female,16,3,No,Yes,74.0,5,No,3.0,Fail
Male,15,1,No,Yes,53.4,4,No,4.0,Fail
Male,22,2,Yes,No,77.4,10,No,3.0,Fail
Male,20,2,Yes,No,67.5,7,No,2.0,Fail
Male,21,1,Yes,Yes,83.4,13,No,2.0,Fail
Male,18,1,No,Yes,74.0,4,Yes,4.0,Fail
Female,15,1,Yes,Yes,77.5,2,No,4.0,Pass
Female,15,4,Yes,No,53.6,6,Yes,4.0,Pass
Female,21,1,Yes,Yes,84.9,10,No,3.0,Pass
Male,22,3,No,No,69.9,7,No,3.0,Fail
Male,18,2,No,Yes,66.8,4,No,4.0,Fail
Male,20,2,No,Yes,58.8,7,Yes,3.0,Fail
Male,20,1,No,No,47.6,2,Yes,4.0,Fail
Male,18,1,No,Yes,61.0,4,No,4.0,Fail
Male,16,2,Yes,Yes,66.6,8,No,3.0,Pass
Female,20,2,Yes,No,60.4,8,No,5.0,Pass
Female,18,1,Yes,,79.9,4,No,4.0,Pass
Male,16,3,No,No,75.4,4,No,5.0,Pass
Female,22,1,Yes,Yes,100.0,5,No,5.0,Pass
Male,21,2,Yes,Yes,76.7,11,No,3.0,Pass
Male,16,2,No,Yes,66.7,6,Yes,2.0,Pass
Female,19,2,Yes,Yes,74.4,4,Yes,3.0,Pass
Female,16,2,No,Yes,82.0,4,No,5.0,Pass
Female,19,2,Yes,No,90.0,3,Yes,3.0,Pass
Female,18,3,Yes,Yes,58.6,5,No,4.0,Pass
Male,17,1,Yes,Yes,51.3,2,No,5.0,Fail
Male,15,1,No,No,53.9,5,Yes,3.0,Fail
Female,15,1,Yes,Yes,66.0,4,Yes,1.0,Fail
Female,17,3,No,Yes,82.9,1,No,5.0,Pass
Female,18,2,Yes,Yes,88.6,7,No,3.0,Pass
Female,18,1,No,No,45.7,5,No,5.0,Fail
Male,17,1,No,Yes,56.5,6,No,5.0,Fail
Male,17,2,No,Yes,74.6,6,No,3.0,Fail
Male,18,2,No,Yes,48.2,7,Yes,4.0,Pass
Female,16,1,Yes,Yes,73.7,5,Yes,5.0,Pass
Male,17,1,Yes,No,77.7,6,Yes,5.0,Pass
Male,19,3,Yes,Yes,19.2,3,No,3.0,Fail
Female,15,3,No,Yes,100.0,8,Yes,5.0,Pass
Female,16,2,Yes,Yes,57.8,5,No,5.0,Fail
Male,19,2,No,Yes,47.9,2,No,5.0,Fail
Female,21,2,No,Yes,75.4,8,No,2.0,Fail
Female,16,4,Yes,Yes,59.8,8,Yes,5.0,Pass
Male,19,4,Yes,Yes,68.7,4,No,1.0,Pass
Female,15,2,Yes,Yes,79.7,5,No,4.0,Fail
Female,21,2,Yes,No,25.4,4,No,5.0,Fail
Female,20,2,Yes,No,32.3,5,No,1.0,Fail
Male,17,1,Yes,Yes,58.6,2,No,4.0,Fail
Male,19,2,No,No,57.3,4,Yes,4.0,Fail
Male,15,1,Yes,Yes,67.8,4,No,3.0,Fail
Male,17,4,Yes,Yes,78.7,11,Yes,3.0,Pass
Female,17,1,Yes,No,45.3,4,No,3.0,Fail
Male,18,4,Yes,No,59.6,6,No,5.0,Fail
Female,17,1,No,No,82.3,7,Yes,3.0,Fail
Female,21,1,Yes,No,70.2,9,Yes,5.0,Pass
Male,15,1,Yes,No,67.4,6,No,5.0,Fail
Female,19,1,Yes,Yes,81.4,5,No,5.0,Fail
Female,17,1,Yes,Yes,39.5,3,No,4.0,Fail
Male,18,1,Yes,Yes,81.0,7,No,5.0,Fail
Female,20,1,Yes,No,54.7,4,No,3.0,Fail
Male,15,2,No,No,59.4,4,No,5.0,Fail
Male,20,2,No,Yes,42.3,3,No,5.0,Fail
Male,21,3,Yes,Yes,86.2,5,No,5.0,Pass
Female,17,2,No,Yes,84.8,6,Yes,3.0,Pass
Male,22,1,Yes,Yes,100.0,8,No,3.0,Pass
Female,21,2,No,Yes,61.5,5,No,5.0,Fail
Female,20,1,No,Yes,47.6,9,No,4.0,Fail
Male,21,3,No,Yes,61.8,3,No,3.0,Fail
Male,20,2,No,Yes,38.3,2,Yes,5.0,Fail
Male,20,1,Yes,Yes,85.1,6,Yes,1.0,Fail
Female,21,2,No,Yes,,6,No,4.0,Fail
Male,20,3,No,No,76.9,5,No,2.0,Pass
Male,21,1,No,Yes,38.7,3,Yes,4.0,Fail
Male,21,3,Yes,Yes,70.3,5,Yes,3.0,Pass
Male,15,2,No,Yes,94.7,3,No,5.0,Fail
Female,15,2,Yes,Yes,51.6,5,Yes,4.0,Pass
Male,16,2,Yes,No,30.2,3,Yes,5.0,Fail
Male,19,1,Yes,Yes,74.9,4,No,4.0,Pass
Female,15,1,No,Yes,66.7,3,No,3.0,Fail
Male,17,3,No,Yes,46.4,7,Yes,,Pass
Male,18,4,No,No,74.9,2,No,5.0,Pass
Male,20,1,No,Yes,63.1,7,No,4.0,Fail
Male,20,2,Yes,Yes,91.3,8,No,3.0,Pass
Male,21,2,No,Yes,62.4,8,No,3.0,Fail
Male,21,2,No,Yes,48.0,6,No,5.0,Fail
Male,19,1,No,No,61.5,6,Yes,3.0,Fail
Male,17,2,No,Yes,34.6,8,No,4.0,Fail
Male,15,2,No,No,85.8,6,No,2.0,Fail
Female,15,1,Yes,Yes,23.8,3,Yes,3.0,Fail
Female,17,1,No,Yes,63.7,4,No,5.0,Fail
Female,22,3,Yes,Yes,62.9,4,Yes,4.0,Pass
Female,17,1,Yes,Yes,64.3,9,No,2.0,Fail
Female,22,2,No,Yes,49.3,4,Yes,1.0,Pass
Male,20,1,Yes,Yes,71.5,2,Yes,5.0,Pass
Male,18,4,Yes,Yes,69.2,5,Yes,3.0,Pass
Female,18,1,Yes,Yes,75.2,3,No,5.0,Fail
Female,15,2,No,Yes,50.2,3,Yes,3.0,Fail
Female,20,3,No,Yes,74.8,8,Yes,5.0,Pass
Female,16,1,Yes,Yes,70.2,7,No,4.0,Fail
Female,22,1,Yes,Yes,69.7,4,No,4.0,Fail
Male,18,1,No,No,66.1,10,No,4.0,Fail
Female,17,2,Yes,Yes,70.4,8,No,4.0,Pass
Male,19,2,Yes,Yes,39.9,5,Yes,3.0,Pass
Female,18,2,No,Yes,80.7,3,No,4.0,Fail
Female,17,1,Yes,Yes,66.4,5,No,3.0,Fail
Male,21,2,Yes,Yes,87.1,11,Yes,3.0,Pass
Female,15,3,Yes,Yes,55.5,5,No,4.0,Fail
Female,22,2,Yes,No,82.8,4,No,4.0,Pass
Female,17,2,No,Yes,85.8,4,No,4.0,Pass
Male,17,2,Yes,Yes,66.1,4,No,4.0,Pass
Female,17,3,Yes,Yes,72.9,3,Yes,5.0,Pass
Female,16,4,No,No,66.5,4,No,5.0,Pass
Female,15,1,Yes,Yes,85.8,5,No,4.0,Pass
Male,18,1,No,Yes,87.0,7,No,5.0,Fail
Male,18,3,Yes,Yes,75.1,7,Yes,4.0,Pass
Female,22,4,No,Yes,60.9,6,No,5.0,Pass
Male,17,2,No,Yes,77.6,3,No,5.0,Fail
Female,21,2,No,Yes,62.2,3,No,1.0,Fail
Female,15,1,No,Yes,90.5,2,No,4.0,Fail
Male,19,1,Yes,Yes,21.2,5,No,5.0,Fail
Male,17,2,Yes,No,92.3,4,No,5.0,Pass
Male,20,1,Yes,No,57.6,6,No,4.0,Fail
Female,20,1,Yes,Yes,50.3,3,No,3.0,Fail
Male,19,2,Yes,Yes,64.8,3,Yes,3.0,Fail
Male,18,3,Yes,Yes,66.3,4,Yes,3.0,Pass
Female,19,1,Yes,No,100.0,8,Yes,5.0,Pass
Male,17,3,No,Yes,67.8,8,Yes,5.0,Pass
Male,19,1,Yes,Yes,40.4,9,No,2.0,Fail
Male,16,2,No,Yes,69.4,4,No,3.0,Fail
Female,17,3,Yes,Yes,62.3,3,No,4.0,Fail
Female,21,2,Yes,Yes,85.3,5,No,3.0,Pass
Female,15,4,Yes,Yes,69.0,6,No,2.0,Pass
Female,20,1,No,Yes,68.6,7,No,4.0,Fail
Female,15,2,Yes,Yes,77.2,6,No,5.0,Pass
Male,16,4,Yes,Yes,60.8,5,No,2.0,Pass
Male,15,3,No,No,85.4,8,No,3.0,Fail
Female,20,2,No,No,42.8,4,Yes,3.0,Fail
Male,18,4,No,Yes,61.2,5,No,2.0,Fail
Female,17,1,No,Yes,36.1,2,No,3.0,Fail
Male,17,2,Yes,Yes,78.6,3,Yes,4.0,Pass
Male,20,2,Yes,Yes,76.8,0,Yes,3.0,Pass
Male,20,1,Yes,Yes,85.3,3,No,4.0,Fail
Female,17,1,Yes,No,78.3,7,Yes,2.0,Fail
Female,17,4,No,Yes,34.6,8,Yes,2.0,Pass
Male,22,1,Yes,Yes,66.4,5,No,5.0,Fail
Female,19,3,No,Yes,35.4,6,Yes,3.0,Fail
Female,20,3,Yes,No,47.9,4,No,2.0,Fail
Female,22,1,Yes,No,70.3,3,No,4.0,Pass
Male,19,1,Yes,No,46.6,2,Yes,1.0,Fail
Male,19,3,Yes,Yes,64.0,1,No,3.0,Pass
Female,19,2,No,Yes,68.9,7,No,4.0,Fail
Female,15,3,Yes,No,54.8,4,No,5.0,Fail
Male,15,1,No,Yes,75.9,6,No,4.0,Pass
Male,15,2,Yes,Yes,76.8,7,No,4.0,Pass
Female,18,1,No,Yes,58.1,4,Yes,3.0,Fail
Female,21,3,Yes,No,81.9,9,No,2.0,Pass
Female,20,2,No,Yes,60.0,5,Yes,4.0,Fail
Female,16,2,Yes,Yes,42.4,4,No,5.0,Fail
Male,16,3,No,Yes,57.7,2,No,4.0,Fail
Male,22,2,No,Yes,63.9,3,Yes,5.0,Pass
Female,17,2,Yes,No,72.6,5,Yes,5.0,Pass
Male,19,4,Yes,No,89.7,6,Yes,3.0,Pass
Male,20,2,No,Yes,90.2,3,No,4.0,Pass
Male,20,2,Yes,Yes,63.6,1,No,3.0,Fail
Female,18,1,Yes,Yes,55.4,7,No,4.0,Fail
Male,19,2,,Yes,60.9,2,No,4.0,Pass
Male,20,3,Yes,No,48.1,7,No,5.0,Fail
Female,17,3,Yes,No,60.2,4,No,4.0,Fail
Female,22,2,No,Yes,80.6,5,No,3.0,Fail
Male,18,1,Yes,Yes,44.0,6,No,5.0,Fail
Female,17,2,No,Yes,79.5,6,No,5.0,Pass
Male,18,3,Yes,Yes,77.8,4,No,3.0,Pass
Male,17,2,Yes,No,67.9,3,No,3.0,Fail
Female,15,1,Yes,Yes,74.6,6,No,3.0,Fail
Male,22,4,Yes,Yes,83.4,3,No,4.0,Pass
Female,19,1,No,Yes,71.0,9,Yes,5.0,Pass
Female,18,2,No,Yes,82.1,6,Yes,4.0,Pass
Female,20,1,No,Yes,48.0,7,No,4.0,Fail
Female,18,3,Yes,Yes,65.9,6,Yes,3.0,Pass
Female,22,2,Yes,Yes,36.1,5,No,3.0,Pass
Female,16,2,Yes,Yes,45.7,6,No,5.0,Fail
Female,22,2,Yes,No,57.5,5,No,5.0,Pass
Female,20,1,Yes,Yes,61.2,5,No,5.0,Fail
Male,21,3,Yes,Yes,70.9,6,Yes,3.0,Pass
Male,18,2,No,No,80.2,5,No,4.0,Fail
Male,21,3,No,Yes,65.8,9,Yes,5.0,Fail
Female,18,2,Yes,Yes,59.9,11,Yes,5.0,Pass
Female,18,2,Yes,Yes,47.4,4,No,5.0,Pass
Female,19,2,Yes,Yes,48.7,3,No,5.0,Fail
Female,17,2,No,No,50.3,2,Yes,3.0,Pass
Male,21,2,No,Yes,61.4,2,Yes,5.0,Pass
Female,19,3,Yes,No,84.8,10,Yes,3.0,Pass
Female,17,3,No,No,54.2,6,No,2.0,Fail
Male,20,4,Yes,Yes,72.0,2,No,4.0,Pass
Female,21,3,Yes,No,63.7,4,Yes,3.0,Pass
Female,18,1,Yes,Yes,49.1,3,Yes,4.0,Pass
Female,18,3,Yes,Yes,50.4,1,No,3.0,Fail
Female,20,2,No,Yes,72.1,8,No,4.0,Fail
Male,21,1,No,Yes,64.8,5,No,5.0,Fail
Female,15,3,Yes,Yes,50.1,5,No,3.0,Pass
Male,18,2,Yes,Yes,76.7,4,Yes,3.0,Pass
Female,16,3,No,No,64.6,4,Yes,3.0,Fail
Female,18,3,Yes,Yes,70.6,4,No,4.0,Pass
Male,20,2,Yes,Yes,64.9,5,Yes,5.0,Pass
Male,18,1,No,Yes,73.3,5,Yes,5.0,Pass
Male,16,2,Yes,Yes,68.4,3,Yes,5.0,Pass
Male,21,1,Yes,Yes,81.6,6,Yes,4.0,Pass
Male,22,3,No,No,38.9,4,No,4.0,Fail
Female,17,4,Yes,Yes,71.9,9,No,5.0,Fail
Male,17,4,Yes,Yes,50.4,6,No,4.0,Pass
Male,15,1,No,Yes,67.2,4,Yes,4.0,Pass
Female,21,2,Yes,Yes,93.1,8,No,4.0,Pass
Male,19,3,Yes,Yes,65.5,5,No,5.0,Pass
Male,16,2,No,Yes,82.5,5,Yes,5.0,Fail
Female,22,2,No,Yes,84.9,9,No,4.0,Pass
Male,20,4,Yes,No,48.9,2,Yes,3.0,Pass
Female,19,4,Yes,Yes,39.4,6,No,1.0,Pass
Male,17,1,No,No,38.3,3,No,3.0,Fail
Female,22,1,Yes,Yes,65.2,9,No,4.0,Fail
Female,21,3,Yes,Yes,40.0,8,Yes,3.0,Pass
Female,15,1,No,Yes,100.0,3,No,5.0,Fail
Female,21,3,Yes,Yes,74.0,5,No,5.0,Pass
Female,18,2,Yes,Yes,48.0,7,No,5.0,Fail
Male,16,2,No,No,29.9,10,No,4.0,Fail
Female,22,4,No,Yes,81.6,6,No,4.0,Fail
Female,21,1,Yes,Yes,52.3,6,Yes,3.0,Pass
Male,22,2,Yes,No,45.5,4,Yes,3.0,Fail
Male,19,1,Yes,Yes,57.3,3,No,3.0,Fail
Female,21,1,No,No,51.5,7,No,4.0,Fail
Female,20,2,Yes,Yes,64.5,3,No,4.0,Pass
Male,16,3,Yes,Yes,57.1,8,No,4.0,Fail
Male,16,1,No,Yes,73.5,5,Yes,4.0,Pass
Male,21,2,No,Yes,31.9,6,No,3.0,Fail
Female,17,1,Yes,Yes,48.4,7,Yes,2.0,Fail
Female,18,2,Yes,Yes,50.9,6,No,5.0,Fail
Female,18,2,Yes,Yes,79.5,6,No,4.0,Pass
Male,15,3,Yes,Yes,49.5,6,No,3.0,Pass
Male,21,1,No,No,77.9,4,Yes,3.0,Pass
Male,15,3,Yes,Yes,53.9,13,No,4.0,Fail
Female,19,4,No,Yes,35.2,5,No,5.0,Fail
Male,18,2,No,Yes,77.3,9,Yes,3.0,Fail
Male,15,2,Yes,Yes,72.7,3,No,4.0,Pass
Female,16,2,No,Yes,59.1,5,Yes,4.0,Pass
Female,15,3,No,No,75.9,8,No,5.0,Fail
Female,19,1,No,Yes,59.7,6,No,3.0,Fail
Male,20,2,No,Yes,70.0,5,Yes,4.0,Pass
Female,21,1,No,Yes,49.8,3,No,4.0,Fail
Female,22,1,Yes,No,88.3,5,No,5.0,Pass
Male,15,1,No,Yes,66.3,4,No,5.0,Fail
Female,22,2,No,Yes,62.0,4,No,4.0,Fail
Male,18,1,No,Yes,84.4,3,No,1.0,Fail
Male,15,3,Yes,Yes,86.4,8,No,4.0,Pass
Female,16,2,No,No,76.6,2,Yes,2.0,Pass
Female,22,2,Yes,Yes,62.4,4,No,5.0,Fail
Female,15,2,No,No,66.9,3,No,5.0,Pass
Female,22,1,No,Yes,58.1,4,Yes,3.0,Fail
Male,16,2,Yes,Yes,60.0,5,Yes,3.0,Pass
Female,21,1,Yes,Yes,72.1,5,No,5.0,Fail
Male,21,1,Yes,Yes,55.7,2,No,2.0,Fail
Female,15,2,Yes,Yes,70.6,7,No,4.0,Pass
Male,15,3,Yes,Yes,73.3,3,No,1.0,Fail
Female,22,2,Yes,Yes,62.6,9,Yes,5.0,Pass
Male,19,4,No,Yes,65.5,6,No,1.0,Fail
Male,20,2,Yes,No,75.6,6,Yes,5.0,Pass
Male,22,1,No,Yes,45.7,6,No,2.0,Fail
Female,15,4,Yes,Yes,56.7,5,Yes,4.0,Pass
Male,18,3,Yes,Yes,92.4,6,No,5.0,Pass
Male,21,1,No,Yes,48.0,4,No,5.0,Fail
Male,17,2,Yes,Yes,42.4,3,Yes,4.0,Pass
Male,17,3,Yes,Yes,70.9,4,No,4.0,Pass
Female,15,2,No,Yes,61.4,7,No,5.0,Fail
Female,16,1,No,Yes,45.2,7,Yes,3.0,Fail
Female,17,2,No,Yes,51.4,6,Yes,2.0,Fail
Male,15,2,Yes,Yes,76.3,1,Yes,3.0,Pass
Male,20,1,No,No,63.6,8,No,3.0,Fail
Female,18,3,Yes,Yes,82.3,5,Yes,4.0,Pass
Male,19,1,Yes,Yes,85.0,6,No,4.0,Pass
Female,18,4,No,Yes,72.1,5,No,3.0,Pass
Male,15,2,No,Yes,62.7,3,No,4.0,Fail
Male,16,3,Yes,No,62.6,8,Yes,5.0,Pass
Female,20,2,Yes,No,77.6,4,No,3.0,Pass
Male,15,2,Yes,Yes,46.3,6,Yes,5.0,Fail
Male,15,3,No,No,65.5,3,No,3.0,Fail
Male,20,1,Yes,No,57.1,6,No,5.0,Fail
Female,15,1,Yes,Yes,66.0,1,Yes,5.0,Pass
Female,19,1,No,No,68.5,3,Yes,2.0,Fail
Female,20,1,No,Yes,60.4,7,No,5.0,Fail
Male,21,3,No,Yes,82.5,6,Yes,3.0,Pass
Female,17,2,No,Yes,54.6,6,No,5.0,Fail
Female,18,2,Yes,No,56.4,4,No,3.0,Fail
Female,20,4,Yes,Yes,66.2,9,No,4.0,Pass
Female,16,3,Yes,Yes,81.4,2,Yes,4.0,Pass
Male,17,2,Yes,Yes,72.9,4,No,3.0,Fail
Male,20,1,Yes,Yes,57.3,7,Yes,3.0,Pass
Male,20,2,Yes,No,44.2,4,No,4.0,Fail
Female,15,3,Yes,No,63.3,1,No,5.0,Pass
Female,19,4,Yes,Yes,82.4,9,No,5.0,Pass
Male,19,3,No,Yes,43.7,4,Yes,5.0,Fail
Male,20,3,Yes,Yes,39.1,4,Yes,4.0,Pass
Male,19,2,Yes,No,81.3,4,No,3.0,Fail
Male,19,1,No,Yes,68.0,6,No,1.0,Fail
Female,16,2,Yes,No,59.5,6,No,3.0,Fail
Male,15,1,Yes,Yes,82.8,5,No,4.0,Fail
Female,18,1,Yes,Yes,98.5,5,Yes,4.0,Pass
Female,18,1,No,Yes,86.8,5,No,5.0,Fail
Female,18,4,Yes,No,38.2,3,No,4.0,Pass
Female,17,1,No,Yes,62.3,4,Yes,3.0,Fail
Male,15,2,No,Yes,46.7,7,Yes,5.0,Pass
Female,16,3,Yes,Yes,61.9,3,Yes,5.0,Pass
Female,18,2,Yes,Yes,71.9,3,No,4.0,Fail
Female,18,4,Yes,No,77.7,6,No,3.0,Pass
Male,21,1,No,Yes,81.7,3,No,5.0,Fail
Female,20,3,No,No,36.6,4,No,3.0,Fail
Female,15,3,Yes,Yes,69.5,4,No,2.0,Fail
Female,20,3,Yes,Yes,47.0,4,No,5.0,Fail
Female,21,1,Yes,No,56.9,4,No,1.0,Fail
Female,18,4,No,Yes,58.4,3,No,3.0,Pass
Female,19,2,No,Yes,72.5,5,No,4.0,Fail
Female,19,3,No,Yes,58.4,5,No,5.0,Fail
Female,22,2,No,No,83.4,6,Yes,4.0,Pass
Female,18,2,No,Yes,59.6,7,No,5.0,Pass
Male,20,2,No,Yes,64.2,8,Yes,3.0,Fail
Female,15,1,Yes,Yes,72.8,3,Yes,3.0,Pass
Male,21,1,Yes,Yes,58.6,5,No,5.0,Fail
Male,17,3,Yes,No,29.0,5,Yes,4.0,Fail
Male,21,3,No,Yes,76.8,5,No,4.0,Fail
Female,15,3,Yes,Yes,39.8,6,No,1.0,Fail
Female,19,3,Yes,Yes,70.2,5,Yes,4.0,Pass
Male,22,1,No,Yes,56.0,5,No,1.0,Fail
Female,17,2,Yes,Yes,61.9,7,No,4.0,Pass
Female,20,2,Yes,Yes,70.9,5,Yes,3.0,Fail
Female,18,2,No,Yes,100.0,9,No,5.0,Fail
Male,21,1,Yes,Yes,53.9,6,Yes,4.0,Pass
Female,18,1,Yes,Yes,49.2,4,Yes,3.0,Pass
Male,17,4,Yes,No,39.8,3,No,5.0,Pass
Female,22,1,No,Yes,55.6,7,No,4.0,Fail
Female,21,4,Yes,Yes,68.8,8,Yes,4.0,Pass
Female,21,1,Yes,Yes,83.9,4,Yes,3.0,Pass
Male,22,2,Yes,Yes,61.7,5,No,4.0,Fail
Female,21,4,No,Yes,78.3,3,Yes,5.0,Pass
Male,19,3,No,Yes,49.3,4,Yes,5.0,Fail
Female,22,2,Yes,No,80.4,4,No,3.0,Pass
Female,22,1,No,Yes,77.6,4,Yes,5.0,Pass
Female,20,4,No,Yes,51.9,5,Yes,3.0,Fail
Male,19,1,No,Yes,81.0,5,No,3.0,Pass
Female,20,3,Yes,Yes,71.4,5,Yes,4.0,Pass
Female,16,3,No,Yes,74.2,5,No,4.0,Fail
Female,18,1,No,Yes,62.2,4,No,4.0,Fail
Male,15,2,Yes,Yes,63.5,8,No,3.0,Fail
Male,19,1,Yes,Yes,49.6,4,Yes,3.0,Pass
Male,22,1,Yes,Yes,81.8,2,No,4.0,Pass
Female,19,2,Yes,Yes,91.2,5,No,4.0,Pass
Male,17,2,Yes,Yes,80.1,10,No,4.0,Pass
Male,19,3,No,Yes,54.4,5,No,4.0,Fail
Male,22,2,Yes,No,35.2,2,Yes,5.0,Fail
Female,19,3,Yes,Yes,67.5,5,No,3.0,Pass
Male,22,1,Yes,No,70.7,4,No,4.0,Fail
Female,15,2,Yes,Yes,66.3,4,No,4.0,Fail
Female,20,1,No,No,69.7,7,No,5.0,Fail
Female,22,2,Yes,Yes,76.6,5,No,3.0,Pass
Female,22,1,Yes,Yes,47.8,6,Yes,5.0,Pass
Female,19,2,No,No,59.8,7,No,4.0,Fail
Male,18,4,No,No,63.3,4,No,5.0,Pass
Male,22,2,Yes,Yes,90.5,7,No,3.0,Fail
Male,20,3,Yes,No,93.0,2,Yes,1.0,Pass
Male,18,3,No,Yes,47.8,4,Yes,3.0,Fail
Female,19,1,Yes,No,60.6,4,Yes,,Pass
Male,19,4,Yes,Yes,58.6,2,Yes,4.0,Pass
Female,15,1,Yes,No,58.2,6,No,4.0,Fail
Female,21,1,Yes,Yes,61.2,5,Yes,4.0,Fail
Male,22,1,Yes,Yes,35.5,7,No,3.0,Pass
Male,21,4,No,Yes,64.1,6,No,4.0,Pass
Female,21,1,Yes,Yes,58.5,7,Yes,3.0,Pass
Female,17,2,No,Yes,91.1,6,Yes,3.0,Pass
Male,19,1,No,Yes,52.3,8,Yes,5.0,Fail
Female,16,3,Yes,Yes,75.0,4,No,2.0,Pass
Female,15,2,Yes,No,62.5,7,No,2.0,Fail
Female,15,2,No,No,60.1,5,No,5.0,Fail
Female,17,3,No,Yes,50.7,5,No,3.0,Fail
Male,15,2,Yes,No,61.9,5,No,3.0,Pass
Male,21,4,Yes,Yes,74.7,4,Yes,1.0,Pass
Female,22,3,Yes,Yes,69.2,3,No,4.0,Fail
Male,16,1,Yes,No,73.7,8,No,5.0,Fail
Male,19,2,Yes,Yes,48.0,4,Yes,2.0,Pass
Male,20,2,No,Yes,55.4,2,No,3.0,Fail
Female,22,1,Yes,Yes,58.8,2,Yes,3.0,Pass
Female,15,3,Yes,Yes,62.8,7,No,4.0,Pass
Female,21,2,Yes,Yes,53.1,8,No,4.0,Fail
Female,19,2,Yes,Yes,72.8,8,Yes,3.0,Pass
Male,21,4,No,Yes,56.8,4,No,4.0,Pass
Female,21,1,No,Yes,71.5,6,No,4.0,Fail
Female,17,2,Yes,Yes,95.3,3,Yes,2.0,Pass
Male,15,2,Yes,No,65.1,7,Yes,2.0,Pass
Female,22,3,Yes,Yes,63.4,4,Yes,5.0,Pass
Female,21,2,Yes,Yes,99.1,4,Yes,3.0,Pass
Female,15,2,Yes,Yes,96.5,5,No,4.0,Pass
Male,21,4,Yes,Yes,40.8,6,No,5.0,Fail
Female,17,2,No,No,96.2,6,Yes,5.0,Pass
Male,17,1,No,No,75.9,4,Yes,5.0,Pass
Female,20,2,Yes,Yes,58.1,13,Yes,4.0,Pass
Male,18,2,No,Yes,55.4,7,No,3.0,Fail
Female,15,1,Yes,Yes,74.2,4,No,5.0,Pass
Male,20,1,Yes,Yes,70.6,9,No,5.0,Fail
Female,18,4,Yes,Yes,63.2,4,No,5.0,Pass
Female,22,1,Yes,Yes,58.1,6,No,5.0,Pass
Female,20,2,Yes,Yes,69.7,6,Yes,5.0,Pass
Male,17,2,No,Yes,57.1,4,Yes,4.0,Pass
Female,19,1,Yes,Yes,71.5,6,No,4.0,Pass
Male,21,2,Yes,Yes,49.6,5,No,2.0,Fail
Male,18,2,Yes,Yes,56.3,2,No,2.0,Fail
Male,15,2,No,Yes,95.3,3,Yes,3.0,Pass
Female,19,3,Yes,Yes,77.1,2,No,5.0,Fail
Female,17,1,No,Yes,62.0,6,Yes,4.0,Fail
Male,17,3,Yes,Yes,68.4,3,No,3.0,Pass
Male,15,2,No,Yes,50.2,7,Yes,3.0,Fail
Female,17,2,Yes,Yes,48.7,7,No,4.0,Fail
Female,21,4,Yes,Yes,85.3,8,Yes,4.0,Pass
Male,16,3,Yes,Yes,71.6,4,No,4.0,Fail
Male,17,3,Yes,Yes,48.5,5,Yes,5.0,Pass
Male,22,1,No,Yes,68.6,8,No,5.0,Fail
Male,20,2,Yes,Yes,46.3,5,No,4.0,Fail
Male,20,1,No,Yes,62.3,8,Yes,4.0,Pass
Male,18,3,Yes,Yes,93.0,4,Yes,5.0,Pass
Female,22,2,Yes,Yes,54.4,4,No,1.0,Pass
Female,20,3,Yes,Yes,66.6,4,No,3.0,Pass
Female,19,1,No,Yes,37.6,1,No,4.0,Fail
